Y;solde;csp;transactions;connexions;virement;penibilites;note
0.73;658.15;4.00;11.00;13.00;7.00;0.17;4.00
0.15;662.15;4.00;7.00;10.00;8.00;0.11;4.00
0.05;1717.98;5.00;45.00;43.00;7.00;0.26;0.00
0.13;637.15;4.00;32.00;20.00;5.00;0.50;4.00
0.05;217.59;3.00;21.00;7.00;9.00;0.97;3.00
0.47;648.15;4.00;21.00;40.00;2.00;0.32;4.00
0.65;190.59;3.00;48.00;47.00;10.00;2.52;3.00
0.05;207.59;3.00;31.00;40.00;7.00;1.49;3.00
0.35;1728.98;5.00;34.00;5.00;10.00;0.20;0.00
0.59;1.00;1.00;40.00;33.00;10.00;400.00;1.00
0.12;230.59;3.00;8.00;50.00;1.00;0.35;3.00
0.25;1.00;1.00;41.00;17.00;5.00;410.00;1.00
0.33;196.59;3.00;42.00;46.00;9.00;2.14;3.00
0.41;1756.98;5.00;6.00;38.00;10.00;0.03;0.00
0.14;1.00;1.00;40.00;23.00;8.00;400.00;1.00
0.05;39.92;2.00;40.00;20.00;4.00;10.02;2.00
0.05;59.92;2.00;20.00;47.00;2.00;3.34;2.00
0.08;1714.98;5.00;48.00;34.00;9.00;0.28;0.00
0.08;59.92;2.00;20.00;49.00;9.00;3.34;2.00
0.23;1741.98;5.00;21.00;15.00;6.00;0.12;0.00
0.05;1733.98;5.00;29.00;43.00;8.00;0.17;0.00
0.42;1758.98;5.00;4.00;24.00;4.00;0.02;0.00
0.14;64.92;2.00;15.00;49.00;7.00;2.31;2.00
0.05;1.00;1.00;33.00;33.00;1.00;330.00;1.00
0.34;1740.98;5.00;22.00;16.00;9.00;0.13;0.00
0.35;38.92;2.00;41.00;30.00;0.00;10.53;2.00
0.15;62.92;2.00;17.00;46.00;10.00;2.70;2.00
0.87;624.15;4.00;45.00;5.00;5.00;0.72;4.00
0.05;207.59;3.00;31.00;40.00;10.00;1.49;3.00
0.25;1.00;1.00;36.00;21.00;7.00;360.00;1.00
0.30;13.15;1.00;12.00;41.00;8.00;9.13;1.00
3.20;11.15;1.00;14.00;8.00;0.00;12.56;1.00
0.49;195.59;3.00;43.00;12.00;8.00;2.20;3.00
0.15;1740.98;5.00;22.00;47.00;6.00;0.13;0.00
0.08;1726.98;5.00;36.00;17.00;0.00;0.21;0.00
0.08;639.15;4.00;30.00;14.00;3.00;0.47;4.00
0.15;1717.98;5.00;45.00;43.00;10.00;0.26;0.00
0.31;208.59;3.00;30.00;19.00;9.00;1.44;3.00
0.05;41.92;2.00;38.00;24.00;9.00;9.07;2.00
0.85;53.92;2.00;26.00;33.00;8.00;4.82;2.00
0.14;621.15;4.00;48.00;21.00;7.00;0.77;4.00
0.05;48.92;2.00;31.00;50.00;3.00;6.34;2.00
0.66;1727.98;5.00;35.00;6.00;8.00;0.20;0.00
0.24;1.00;1.00;34.00;8.00;9.00;340.00;1.00
0.05;5.15;1.00;20.00;31.00;4.00;38.85;1.00
0.14;1.00;1.00;37.00;4.00;2.00;370.00;1.00
3.20;196.59;3.00;42.00;8.00;6.00;2.14;3.00
0.05;198.59;3.00;40.00;27.00;0.00;2.01;3.00
0.14;24.15;1.00;1.00;15.00;3.00;0.41;1.00
0.08;1749.98;5.00;13.00;10.00;8.00;0.07;0.00
0.26;654.15;4.00;15.00;30.00;3.00;0.23;4.00
0.13;230.59;3.00;8.00;32.00;3.00;0.35;3.00
0.13;1750.98;5.00;12.00;17.00;8.00;0.07;0.00
0.43;34.92;2.00;45.00;31.00;5.00;12.89;2.00
0.14;67.92;2.00;12.00;43.00;10.00;1.77;2.00
0.11;1.00;1.00;35.00;10.00;7.00;350.00;1.00
0.08;1.00;1.00;48.00;5.00;2.00;480.00;1.00
0.08;1732.98;5.00;30.00;38.00;5.00;0.17;0.00
0.14;1747.98;5.00;15.00;31.00;8.00;0.09;0.00
0.08;24.15;1.00;1.00;14.00;9.00;0.41;1.00
0.08;190.59;3.00;48.00;42.00;4.00;2.52;3.00
0.08;1730.98;5.00;32.00;15.00;1.00;0.18;0.00
0.49;25.15;1.00;0.00;2.00;10.00;0.00;1.00
0.25;14.15;1.00;11.00;32.00;9.00;7.78;1.00
0.14;54.92;2.00;25.00;14.00;6.00;4.55;2.00
0.08;38.92;2.00;41.00;41.00;1.00;10.53;2.00
0.29;1736.98;5.00;26.00;13.00;5.00;0.15;0.00
0.08;53.92;2.00;26.00;11.00;6.00;4.82;2.00
0.12;628.15;4.00;41.00;3.00;8.00;0.65;4.00
0.09;16.15;1.00;9.00;39.00;4.00;5.57;1.00
0.05;74.92;2.00;5.00;8.00;1.00;0.67;2.00
0.05;1736.98;5.00;26.00;14.00;7.00;0.15;0.00
0.08;202.59;3.00;36.00;3.00;4.00;1.78;3.00
0.31;35.92;2.00;44.00;40.00;10.00;12.25;2.00
0.05;62.92;2.00;17.00;25.00;3.00;2.70;2.00
0.05;208.59;3.00;30.00;28.00;7.00;1.44;3.00
0.40;61.92;2.00;18.00;43.00;2.00;2.91;2.00
0.27;64.92;2.00;15.00;30.00;2.00;2.31;2.00
0.15;621.15;4.00;48.00;9.00;0.00;0.77;4.00
0.29;61.92;2.00;18.00;35.00;8.00;2.91;2.00
0.08;50.92;2.00;29.00;17.00;5.00;5.70;2.00
0.32;4.15;1.00;21.00;12.00;0.00;50.63;1.00
0.52;74.92;2.00;5.00;24.00;7.00;0.67;2.00
0.41;1.00;1.00;35.00;34.00;10.00;350.00;1.00
0.05;1.00;1.00;28.00;39.00;7.00;280.00;1.00
0.13;217.59;3.00;21.00;9.00;1.00;0.97;3.00
0.14;1715.98;5.00;47.00;18.00;10.00;0.27;0.00
0.08;25.15;1.00;0.00;31.00;9.00;0.00;1.00
0.10;1.00;1.00;28.00;22.00;10.00;280.00;1.00
0.05;631.15;4.00;38.00;25.00;4.00;0.60;4.00
0.08;1.00;1.00;44.00;14.00;0.00;440.00;1.00
0.05;49.92;2.00;30.00;45.00;8.00;6.01;2.00
0.10;214.59;3.00;24.00;0.00;8.00;1.12;3.00
0.14;1.00;1.00;32.00;24.00;2.00;320.00;1.00
0.15;195.59;3.00;43.00;10.00;6.00;2.20;3.00
0.05;1.00;1.00;49.00;13.00;10.00;490.00;1.00
0.08;197.59;3.00;41.00;3.00;5.00;2.07;3.00
0.09;53.92;2.00;26.00;45.00;1.00;4.82;2.00
0.24;188.59;3.00;50.00;43.00;6.00;2.65;3.00
0.08;195.59;3.00;43.00;0.00;1.00;2.20;3.00
0.08;640.15;4.00;29.00;5.00;4.00;0.45;4.00
0.05;639.15;4.00;30.00;50.00;5.00;0.47;4.00
0.08;68.92;2.00;11.00;49.00;5.00;1.60;2.00
0.27;67.92;2.00;12.00;10.00;2.00;1.77;2.00
0.08;237.59;3.00;1.00;8.00;4.00;0.04;3.00
0.35;201.59;3.00;37.00;17.00;9.00;1.84;3.00
0.12;204.59;3.00;34.00;35.00;0.00;1.66;3.00
0.08;2.15;1.00;23.00;38.00;0.00;107.10;1.00
0.08;643.15;4.00;26.00;41.00;3.00;0.40;4.00
0.05;223.59;3.00;15.00;16.00;2.00;0.67;3.00
0.60;24.15;1.00;1.00;31.00;1.00;0.41;1.00
0.14;659.15;4.00;10.00;0.00;10.00;0.15;4.00
0.47;225.59;3.00;13.00;24.00;6.00;0.58;3.00
0.15;63.92;2.00;16.00;33.00;10.00;2.50;2.00
0.15;1748.98;5.00;14.00;40.00;7.00;0.08;0.00
0.08;69.92;2.00;10.00;46.00;4.00;1.43;2.00
0.08;72.92;2.00;7.00;39.00;7.00;0.96;2.00
0.08;1735.98;5.00;27.00;45.00;4.00;0.16;0.00
0.65;201.59;3.00;37.00;3.00;8.00;1.84;3.00
0.14;0.15;1.00;25.00;4.00;1.00;1694.50;1.00
0.14;1732.98;5.00;30.00;3.00;9.00;0.17;0.00
0.36;75.92;2.00;4.00;27.00;9.00;0.53;2.00
0.08;1757.98;5.00;5.00;50.00;7.00;0.03;0.00
0.33;1728.98;5.00;34.00;6.00;6.00;0.20;0.00
0.05;213.59;3.00;25.00;30.00;0.00;1.17;3.00
0.09;48.92;2.00;31.00;42.00;1.00;6.34;2.00
0.26;51.92;2.00;28.00;44.00;8.00;5.39;2.00
0.05;217.59;3.00;21.00;34.00;9.00;0.97;3.00
0.05;57.92;2.00;22.00;23.00;0.00;3.80;2.00
0.14;44.92;2.00;35.00;48.00;5.00;7.79;2.00
0.08;57.92;2.00;22.00;22.00;3.00;3.80;2.00
